1498,1,65,65,1,30,1,24,1,0
1840,1,65,65,1,30,1,70,1,0
2138,1,65,65,1,30,1,1,1,0
2436,1,65,65,1,30,1,9,1,0
2734,1,65,65,1,30,1,3,1,0
3032,1,65,65,1,30,1,7,1,0
3330,1,65,65,1,31,1,7,1,0
3628,1,65,65,1,31,1,10,1,0
3926,1,65,65,1,31,1,2,1,0
4224,1,65,65,1,31,1,2,1,0
4522,1,65,65,1,31,1,4,1,0
4721,1,65,65,1,31,1,6,1,0
5019,1,65,65,1,30,1,9,1,0
5317,1,65,65,1,30,1,4,1,0
5615,1,65,65,1,30,1,1,1,0
5913,1,65,65,1,31,1,7,1,0
6211,1,65,65,1,31,1,10,1,0
6509,1,65,65,1,32,1,3,1,0
6807,1,65,65,1,31,1,8,1,0
7111,1,65,65,1,31,1,8,1,0
7409,1,65,65,1,31,1,3,1,0
7707,1,65,65,1,31,1,9,1,0
8005,1,65,65,1,31,1,1,1,0
8303,1,65,65,1,31,1,4,1,0
8601,1,65,65,1,31,1,10,1,0
8899,1,65,65,1,30,1,3,1,0
9197,1,65,65,1,30,1,5,1,0
9495,1,65,65,1,31,1,10,1,0
9793,1,65,65,1,31,1,2,1,0
10091,1,65,65,1,31,1,8,1,0
10390,1,65,65,1,31,1,1,1,0
10688,1,65,65,1,31,1,5,1,0
10986,1,65,65,1,30,1,6,1,0
11284,1,65,65,1,30,1,1,1,0
11587,1,65,65,1,31,1,5,1,0
11885,1,65,65,1,31,1,1,1,0
12183,1,65,65,1,31,1,3,1,0
12481,1,65,65,1,31,1,5,1,0
12786,1,65,65,1,30,1,4,1,0
13084,1,65,65,1,30,1,2,1,0
13382,1,65,65,1,31,1,1,1,0
13680,1,65,65,1,31,1,7,1,0
13978,1,65,65,1,32,1,7,1,0
14276,1,65,65,1,31,1,2,1,0
14574,1,65,65,1,31,1,10,1,0
14872,1,120,99,1,30,120,56,200,0
15170,1,120,99,1,31,120,31,200,0
15468,1,120,99,1,30,120,65,200,0
15766,1,120,99,1,30,120,20,200,0
16064,1,120,99,1,30,120,38,200,0
16362,1,120,99,1,31,120,34,200,0
16660,1,65,65,5,31,3,5,56,0
16958,1,65,65,5,31,3,10,56,0
17256,1,65,65,5,31,3,37,56,0
17554,1,65,65,5,31,3,63,56,0
17859,1,65,65,5,31,3,21,56,0
18157,1,65,65,5,32,3,40,56,0
18455,1,65,65,5,31,3,6,56,0
18753,1,65,65,5,30,3,10,57,0
19051,1,65,65,5,30,3,8,57,0
19350,1,65,65,5,31,3,10,57,0
19648,1,65,65,5,31,3,8,57,0
19946,1,65,65,5,31,3,5,57,0
20244,1,65,65,5,31,3,7,57,0
20542,1,65,65,5,30,3,10,57,0
20774,1,65,98,5,30,3,7,55,0
21072,1,65,98,5,30,3,5,55,0
21370,1,65,98,5,31,3,4,55,0
21668,1,65,98,5,31,3,6,55,0
21966,1,65,98,5,31,3,8,55,0
22264,1,65,98,5,31,3,7,55,0
22562,1,65,98,5,30,3,10,55,0
22781,1,65,98,5,30,3,5,70,0
23079,1,65,98,5,30,3,3,70,0
23377,1,65,98,5,32,3,6,70,0
23675,1,65,98,5,32,3,4,70,0
23973,1,65,98,5,31,3,9,70,0
24271,1,65,98,5,30,3,2,70,0
24569,1,65,98,5,30,3,1,70,0
24787,1,65,98,60,30,3,26,53,0
25085,1,65,98,60,31,3,14,53,0
25383,1,65,98,60,31,3,28,53,0
25681,1,65,98,60,31,3,67,53,0
25979,1,65,98,60,31,3,63,53,0
26277,1,65,98,60,31,3,31,53,0
26575,1,65,98,60,30,3,49,53,0
26794,1,65,98,5,30,3,2,53,0
27092,1,65,98,5,33,3,2,53,0
27390,1,65,98,5,30,3,5,53,0
27695,1,65,98,5,31,3,8,53,0
27994,1,65,98,5,31,3,5,53,0
28292,1,65,98,5,31,3,8,53,0
28590,1,65,98,5,31,3,6,53,0
28801,1,92,98,5,31,3,9,50,0
29099,1,92,98,5,31,3,2,50,0
29397,1,92,98,5,31,3,9,50,0
29695,1,92,98,5,30,3,8,50,0
29993,1,92,98,5,31,3,2,50,0
30291,1,92,98,5,31,3,8,50,0
30589,1,92,98,5,30,3,4,50,0
30813,1,92,98,5,31,3,10,54,0
